Cliente 1,Observación 1,2025-06-30
Cliente 1,Observación 1,2025-06-29
Cliente 2,Observación 2,2025-06-29
Cliente 1,Observación 1,2025-06-28
Cliente 2,Observación 2,2025-06-28
Cliente 3,Observación 3,2025-06-28
Cliente 1,Observación 1,2025-06-27
Cliente 2,Observación 2,2025-06-27
Cliente 3,Observación 3,2025-06-27
Cliente 4,Observación 4,2025-06-27
Cliente 1,Observación 1,2025-06-26
Cliente 2,Observación 2,2025-06-26
Cliente 3,Observación 3,2025-06-26
Cliente 4,Observación 4,2025-06-26
Cliente 5,Observación 5,2025-06-26
Cliente 1,Observación 1,2025-06-25
Cliente 2,Observación 2,2025-06-25
Cliente 3,Observación 3,2025-06-25
Cliente 4,Observación 4,2025-06-25
Cliente 5,Observación 5,2025-06-25
Cliente 6,Observación 6,2025-06-25
Cliente 1,Observación 1,2025-06-24
Cliente 2,Observación 2,2025-06-24
Cliente 3,Observación 3,2025-06-24
Cliente 4,Observación 4,2025-06-24
Cliente 5,Observación 5,2025-06-24
Cliente 6,Observación 6,2025-06-24
Cliente 7,Observación 7,2025-06-24
joel,puntual,"2025-06-30 06:19:56"
